all_cc_inx,VAdjMat,MDEC.12,nAtomLAC,nAtomLC,khs.ssCH2,Kier1,Kier2,FMF,VP.1,C2SP3,nAtom,nAcid,mz,CCS,pred_CCS,delta_CCS_N_N_pred,relative_error,compound_class,pubchem_cid,adducts,cluster_inx
all-cc-1142,0.8038713621933496,0.4444062390263293,1.2556226549947418,1.5622992410735717,1.7119570769897627,0.9494312942434068,1.4099020796160615,-1.3700239983779217,1.1016788370985138,1.8074020165889824,1.2118850848052836,-0.6711111967386733,0.6819072949233231,261.3,260.288278426844,1.0117215731561373,0.003871877432667958,Lipids and lipid-like molecules,6442676,[M+H]+,21
all-cc-642,-0.15337684240947647,-0.4785364462931282,-0.7099263432370679,-0.4673239630120752,-0.6603144286347851,-0.5534788213233495,-0.5588406561630099,0.845821134180663,-0.5272542668142722,-0.7516291616269721,-0.5810009019750011,0.5023287400738573,-0.5573077649737548,166.595463664743,163.47950610285514,3.115957561887825,0.018703735944205442,Drug and Drug-Like Compounds,3718,[M+H]+,8
all-cc-1566,1.523313523773692,1.4055103576766126,1.4671921657670683,1.9129025546918912,2.6439208827708347,2.1332674675632703,2.6657621948928,-1.3700239983779217,2.2189205082736745,2.5751113700537687,2.2637115303830506,-0.6711111967386733,1.9026630645479519,313.0,311.8413739750475,1.1586260249525249,0.003701680590902637,Lipids and lipid-like molecules,TG(50:3),[M+NH4]+,46
all-cc-1639,1.864203059472864,1.4940065954810926,1.9108056544053449,2.5358583388033042,3.152264776833238,2.8809534717652894,3.5373292999940427,-1.3700239983779217,2.94641623990544,3.0869176056969603,2.980865925095165,-0.6711111967386733,2.6090603987774803,344.1,344.65388432879837,-0.5538843287983468,0.0016096609380945853,Lipids and lipid-like molecules,TG(62:6),[M+NH4]+,46
all-cc-2961,-1.3327220244993079,-0.9284064440864525,-0.7099263432370679,-0.974729764033487,-0.7450384109785188,-0.9145914523435734,-0.7297722210244372,0.18106759441308776,-1.0798638566859575,-0.7516291616269721,-1.0351986852926731,1.675768676886388,-1.132799892068566,130.5027233,128.48506181006522,2.017661489934767,0.015460684949053219,Metabolites,1066,[M+H-H2O]+,26
all-cc-128,-0.7013330414431199,-0.5519565115600802,-1.0375178429423697,-0.4673239630120752,-0.5755904462910512,-0.6045827537058855,-0.5459931143749198,-0.2751358152313305,-0.6797489424257854,-0.6663281223531069,-0.7244317809174239,-0.6711111967386733,-0.5794035937843436,158.492676801776,159.68497834407464,-1.1923015422986225,0.007522754781849088,Metabolites,2727,[M+H]+,15
all-cc-5,-0.15337684240947647,-0.3577590597097932,-0.2185390936791156,-0.7210268635227811,-0.4908664639473173,-0.6924626721359479,-0.676403755068316,1.2668317093667945,-0.494136314439785,-0.4957260438053766,-0.5570957554845973,-0.6711111967386733,-0.6182112528953321,161.746347248712,158.53783246022869,3.2085147884833134,0.019836706318626697,Metabolites,6005,[M+H]+,15
all-cc-834,-0.31828489463281623,-0.9284064440864525,-0.5461305933844172,-0.4673239630120752,-0.06724655222864802,-0.6730981978684569,-0.5584546700008521,1.56888638796294,-0.3784666855549035,-0.06922084743605088,-0.3897597300517707,-0.6711111967386733,-0.6527698314536522,164.34658194283998,164.45702951468118,-0.11044757184120613,0.0006720405775133188,Drug and Drug-Like Compounds,659840,[M+H]+,56
all-cc-1764,0.7084420358719374,0.4307505575632584,1.3648198221091616,1.3931639740664343,1.5425091123022951,0.8248169602097368,1.2652140715175495,-1.3700239983779217,0.957169583959352,1.636799938041252,1.0684542058628608,-0.6711111967386733,0.5597778213688399,253.6,253.61940222911,-0.01940222910999978,7.650721257886349e-05,Lipids and lipid-like molecules,Cer(34:1),[M+H]+,21
all-cc-459,-0.7013330414431199,-0.6012511333285403,-0.3823348435317664,-0.8055944970263498,-0.7450384109785188,-0.90900392958053,-0.7672307556625244,1.3185347624598291,-0.8137887054090088,-0.7516291616269721,-0.8439575133694428,-0.6711111967386733,-0.9190259409788528,140.518580758801,138.244575244881,2.2740055139200024,0.016182952472479882,Drug and Drug-Like Compounds,68094,[M+H]+,15
